reference_date,aove_price_eur_kg,ipc_monthly,diesel_price_eur,stock_delta_pct,surface_delta_pct
2011-09-19,1.8,90.559,0.789,3.1914895,0.7
2011-09-26,1.82,90.559,0.789,3.1914895,0.7
2011-10-03,1.85,91.273,0.789,11.340206,0.7
2011-10-10,1.9,91.273,0.789,11.340206,0.7
2011-10-17,1.96,91.273,0.789,11.340206,0.7
2011-10-24,2.02,91.273,0.789,11.340206,0.7
2011-10-31,2.1,91.273,0.789,11.340206,0.7
2011-11-07,2.18,91.643,0.789,6.4814816,0.7
2011-11-14,2.25,91.643,0.789,6.4814816,0.7
2011-11-21,2.32,91.643,0.789,6.4814816,0.7
2011-11-28,2.38,91.643,0.789,6.4814816,0.7
2011-12-05,2.44,91.643,0.789,6.4814816,0.7
2011-12-12,2.5,91.762,0.789,-4.347826,0.7
2011-12-19,2.55,91.762,0.789,-4.347826,0.7
2011-12-26,2.58,91.762,0.789,-4.347826,0.7
2012-01-02,2.6,91.762,0.789,-4.347826,0.7
2012-01-09,2.62,91.762,0.789,-4.347826,0.7
2012-01-16,2.65,90.753,0.82,21.306818,0.9
2012-01-23,2.67,90.753,0.82,21.306818,0.9
2012-01-30,2.68,90.753,0.82,21.306818,0.9
2012-02-06,2.69,90.847,0.82,-1.9047619,0.9
2012-02-13,2.7,90.847,0.82,-1.9047619,0.9
2012-02-20,2.71,90.847,0.82,-1.9047619,0.9
2012-02-27,2.72,90.847,0.82,-1.9047619,0.9
2012-03-05,2.72,90.847,0.82,-1.9047619,0.9
2012-03-12,2.73,91.458,0.82,-1.9417475,0.9
2012-03-19,2.73,91.458,0.82,-1.9417475,0.9
2012-03-26,2.72,91.458,0.82,-1.9417475,0.9
2012-04-02,2.72,91.458,0.82,-1.9417475,0.9
2012-04-09,2.72,92.743,0.82,-2.970297,0.9
2012-04-16,2.71,92.743,0.82,-2.970297,0.9
2012-04-23,2.7,92.743,0.82,-2.970297,0.9
2012-04-30,2.69,92.743,0.82,-2.970297,0.9
2012-05-07,2.68,92.606,0.82,-2.0408163,0.9
2012-05-14,2.67,92.606,0.82,-2.0408163,0.9
2012-05-21,2.67,92.606,0.82,-2.0408163,0.9
2012-05-28,2.66,92.606,0.82,-2.0408163,0.9
2012-06-04,2.65,92.433,0.82,-2.0833333,0.9
2012-06-11,2.65,92.433,0.82,-2.0833333,0.9
2012-06-18,2.64,92.433,0.82,-2.0833333,0.9
2012-06-25,2.64,92.433,0.82,-2.0833333,0.9
2012-07-02,2.63,92.433,0.82,-2.0833333,0.9
2012-07-09,2.63,92.217,0.82,-2.1276596,0.9
2012-07-16,2.62,92.217,0.82,-2.1276596,0.9
2012-07-23,2.62,92.217,0.82,-2.1276596,0.9
2012-07-30,2.62,92.217,0.82,-2.1276596,0.9
2012-08-06,2.61,92.217,0.82,-2.1276596,0.9
2012-08-13,2.61,92.736,0.82,2.173913,0.9
2012-08-20,2.6,92.736,0.82,2.173913,0.9
2012-08-27,2.6,92.736,0.82,2.173913,0.9
2012-09-03,2.6,93.649,0.82,3.1914895,0.9
2012-09-10,2.6,93.649,0.82,3.1914895,0.9
2012-09-17,2.6,93.649,0.82,3.1914895,0.9
2012-09-24,2.6,93.649,0.82,3.1914895,0.9
2012-10-01,2.58,93.649,0.82,3.1914895,0.9
2012-10-08,2.56,93.649,0.82,3.1914895,0.9
2012-10-15,2.53,94.445,0.82,11.340206,0.9
2012-10-22,2.5,94.445,0.82,11.340206,0.9
2012-10-29,2.47,94.445,0.82,11.340206,0.9
2012-11-05,2.44,94.445,0.82,11.340206,0.9
2012-11-12,2.41,94.328,0.82,6.4814816,0.9
2012-11-19,2.38,94.328,0.82,6.4814816,0.9
2012-11-26,2.35,94.328,0.82,6.4814816,0.9
2012-12-03,2.32,94.394,0.82,-4.347826,0.9
2012-12-10,2.29,94.394,0.82,-4.347826,0.9
2012-12-17,2.26,94.394,0.82,-4.347826,0.9
2012-12-24,2.24,94.394,0.82,-4.347826,0.9
2012-12-31,2.22,94.394,0.82,-4.347826,0.9
2013-01-07,2.2,93.188,0.78,-18.628912,1.1
2013-01-14,2.18,93.188,0.78,-18.628912,1.1
2013-01-21,2.16,93.188,0.78,-18.628912,1.1
2013-01-28,2.15,93.188,0.78,-18.628912,1.1
2013-02-04,2.14,93.188,0.78,-18.628912,1.1
2013-02-11,2.13,93.349,0.78,-1.9047619,1.1
2013-02-18,2.12,93.349,0.78,-1.9047619,1.1
2013-02-25,2.11,93.349,0.78,-1.9047619,1.1
2013-03-04,2.1,93.349,0.78,-1.9047619,1.1
2013-03-11,2.09,93.678,0.78,-1.9417475,1.1
2013-03-18,2.09,93.678,0.78,-1.9417475,1.1
2013-03-25,2.09,93.678,0.78,-1.9417475,1.1
2013-04-01,2.09,93.678,0.78,-1.9417475,1.1
2013-04-08,2.1,94.028,0.78,-2.970297,1.1
2013-04-15,2.1,94.028,0.78,-2.970297,1.1
2013-04-22,2.11,94.028,0.78,-2.970297,1.1
2013-04-29,2.12,94.028,0.78,-2.970297,1.1
2013-05-06,2.14,94.028,0.78,-2.970297,1.1
2013-05-13,2.15,94.201,0.78,-2.0408163,1.1
2013-05-20,2.17,94.201,0.78,-2.0408163,1.1
2013-05-27,2.19,94.201,0.78,-2.0408163,1.1
2013-06-03,2.21,94.201,0.78,-2.0408163,1.1
2013-06-10,2.23,94.34,0.78,-2.0833333,1.1
2013-06-17,2.25,94.34,0.78,-2.0833333,1.1
2013-06-24,2.27,94.34,0.78,-2.0833333,1.1
2013-07-01,2.29,93.853,0.78,-2.1276596,1.1
2013-07-08,2.31,93.853,0.78,-2.1276596,1.1
2013-07-15,2.33,93.853,0.78,-2.1276596,1.1
2013-07-22,2.35,93.853,0.78,-2.1276596,1.1
2013-07-29,2.37,93.853,0.78,-2.1276596,1.1
2013-08-05,2.4,94.145,0.78,2.173913,1.1
2013-08-12,2.43,94.145,0.78,2.173913,1.1
2013-08-19,2.46,94.145,0.78,2.173913,1.1
2013-08-26,2.5,94.145,0.78,2.173913,1.1
2013-09-02,2.54,94.145,0.78,2.173913,1.1
2013-09-09,2.58,93.969,0.78,3.1914895,1.1
2013-09-16,2.62,93.969,0.78,3.1914895,1.1
2013-09-23,2.66,93.969,0.78,3.1914895,1.1
2013-09-30,2.68,93.969,0.78,3.1914895,1.1
2013-10-07,2.7,94.351,0.78,11.340206,1.1
2013-10-14,2.72,94.351,0.78,11.340206,1.1
2013-10-21,2.75,94.351,0.78,11.340206,1.1
2013-10-28,3.4,94.351,0.78,11.340206,1.1
2013-11-04,3.8,94.547,0.78,6.4814816,1.1
2013-11-11,4.0,94.547,0.78,6.4814816,1.1
2013-11-18,4.1,94.547,0.78,6.4814816,1.1
2013-11-25,4.18,94.547,0.78,6.4814816,1.1
2013-12-02,4.22,94.547,0.78,6.4814816,1.1
2013-12-09,4.25,94.632,0.78,-4.347826,1.1
2013-12-16,4.26,94.632,0.78,-4.347826,1.1
2013-12-23,4.26,94.632,0.78,-4.347826,1.1
2013-12-30,4.26,94.632,0.78,-4.347826,1.1
2014-01-06,4.26,94.632,0.78,-4.347826,1.1
2014-01-13,4.25,93.373,0.66,-35.751747,0.8
2014-01-20,4.25,93.373,0.66,-35.751747,0.8
2014-01-27,4.24,93.373,0.66,-35.751747,0.8
2014-02-03,4.23,93.373,0.66,-35.751747,0.8
2014-02-10,4.22,93.333,0.66,-1.9047619,0.8
2014-02-17,4.2,93.333,0.66,-1.9047619,0.8
2014-02-24,4.19,93.333,0.66,-1.9047619,0.8
2014-03-03,4.17,93.541,0.66,-1.9417475,0.8
2014-03-10,4.15,93.541,0.66,-1.9417475,0.8
2014-03-17,4.13,93.541,0.66,-1.9417475,0.8
2014-03-24,4.11,93.541,0.66,-1.9417475,0.8
2014-03-31,4.08,93.541,0.66,-1.9417475,0.8
2014-04-07,4.06,93.541,0.66,-1.9417475,0.8
2014-04-14,4.03,94.373,0.66,-2.970297,0.8
2014-04-21,4.0,94.373,0.66,-2.970297,0.8
2014-04-28,3.97,94.373,0.66,-2.970297,0.8
2014-05-05,3.94,94.395,0.66,-2.0408163,0.8
2014-05-12,3.91,94.395,0.66,-2.0408163,0.8
2014-05-19,3.88,94.395,0.66,-2.0408163,0.8
2014-05-26,3.85,94.395,0.66,-2.0408163,0.8
2014-06-02,3.82,94.421,0.66,-2.0833333,0.8
2014-06-09,3.79,94.421,0.66,-2.0833333,0.8
2014-06-16,3.76,94.421,0.66,-2.0833333,0.8
2014-06-23,3.73,94.421,0.66,-2.0833333,0.8
2014-06-30,3.7,94.421,0.66,-2.0833333,0.8
2014-07-07,3.67,93.533,0.66,-2.1276596,0.8
2014-07-14,3.64,93.533,0.66,-2.1276596,0.8
2014-07-21,3.61,93.533,0.66,-2.1276596,0.8
2014-07-28,3.58,93.533,0.66,-2.1276596,0.8
2014-08-04,3.55,93.533,0.66,-2.1276596,0.8
2014-08-11,3.52,93.681,0.66,2.173913,0.8
2014-08-18,3.49,93.681,0.66,2.173913,0.8
2014-08-25,3.46,93.681,0.66,2.173913,0.8
2014-09-01,3.43,93.681,0.66,2.173913,0.8
2014-09-08,3.4,93.824,0.66,3.1914895,0.8
2014-09-15,3.37,93.824,0.66,3.1914895,0.8
2014-09-22,3.34,93.824,0.66,3.1914895,0.8
2014-09-29,3.2,93.824,0.66,3.1914895,0.8
2014-10-06,3.1,94.261,0.66,11.340206,0.8
2014-10-13,2.95,94.261,0.66,11.340206,0.8
2014-10-20,2.8,94.261,0.66,11.340206,0.8
2014-10-27,2.65,94.261,0.66,11.340206,0.8
2014-11-03,2.52,94.261,0.66,11.340206,0.8
2014-11-10,2.42,94.195,0.66,6.4814816,0.8
2014-11-17,2.33,94.195,0.66,6.4814816,0.8
2014-11-24,2.26,94.195,0.66,6.4814816,0.8
2014-12-01,2.2,94.195,0.66,6.4814816,0.8
2014-12-08,2.15,93.646,0.66,-4.347826,0.8
2014-12-15,2.11,93.646,0.66,-4.347826,0.8
2014-12-22,2.08,93.646,0.66,-4.347826,0.8
2014-12-29,2.06,93.646,0.66,-4.347826,0.8
2015-01-05,2.04,93.646,0.66,-4.347826,0.8
2015-01-12,2.02,92.141,0.548,69.09091,0.8
2015-01-19,2.0,92.141,0.548,69.09091,0.8
2015-01-26,2.0,92.141,0.548,69.09091,0.8
2015-02-02,2.0,92.331,0.548,-1.9047619,0.8
2015-02-09,2.0,92.331,0.548,-1.9047619,0.8
2015-02-16,2.0,92.331,0.548,-1.9047619,0.8
2015-02-23,2.0,92.331,0.548,-1.9047619,0.8
2015-03-02,2.0,92.331,0.548,-1.9047619,0.8
2015-03-09,2.01,92.92,0.548,-1.9417475,0.8
2015-03-16,2.02,92.92,0.548,-1.9417475,0.8
2015-03-23,2.03,92.92,0.548,-1.9417475,0.8
2015-03-30,2.04,92.92,0.548,-1.9417475,0.8
2015-04-06,2.06,93.774,0.548,-2.970297,0.8
2015-04-13,2.08,93.774,0.548,-2.970297,0.8
2015-04-20,2.1,93.774,0.548,-2.970297,0.8
2015-04-27,2.12,93.774,0.548,-2.970297,0.8
2015-05-04,2.15,94.222,0.548,-2.0408163,0.8
2015-05-11,2.18,94.222,0.548,-2.0408163,0.8
2015-05-18,2.2,94.222,0.548,-2.0408163,0.8
2015-05-25,2.23,94.222,0.548,-2.0408163,0.8
2015-06-01,2.25,94.222,0.548,-2.0408163,0.8
2015-06-08,2.28,94.474,0.548,-2.0833333,0.8
2015-06-15,2.3,94.474,0.548,-2.0833333,0.8
2015-06-22,2.32,94.474,0.548,-2.0833333,0.8
2015-06-29,2.35,94.474,0.548,-2.0833333,0.8
2015-07-06,2.38,94.474,0.548,-2.0833333,0.8
2015-07-13,2.4,93.597,0.548,-2.1276596,0.8
2015-07-20,2.43,93.597,0.548,-2.1276596,0.8
2015-07-27,2.45,93.597,0.548,-2.1276596,0.8
2015-08-03,2.48,93.597,0.548,-2.1276596,0.8
2015-08-10,2.5,93.286,0.548,2.173913,0.8
2015-08-17,2.52,93.286,0.548,2.173913,0.8
2015-08-24,2.55,93.286,0.548,2.173913,0.8
2015-08-31,2.58,93.286,0.548,2.173913,0.8
2015-09-07,2.6,92.999,0.548,3.1914895,0.8
2015-09-14,2.62,92.999,0.548,3.1914895,0.8
2015-09-21,2.64,92.999,0.548,3.1914895,0.8
2015-09-28,2.65,92.999,0.548,3.1914895,0.8
2015-10-05,2.66,92.999,0.548,3.1914895,0.8
2015-10-12,2.66,93.595,0.548,11.340206,0.8
2015-10-19,2.65,93.595,0.548,11.340206,0.8
2015-10-26,2.64,93.595,0.548,11.340206,0.8
2015-11-02,2.63,93.595,0.548,11.340206,0.8
2015-11-09,2.62,93.937,0.548,6.4814816,0.8
2015-11-16,2.61,93.937,0.548,6.4814816,0.8
2015-11-23,2.6,93.937,0.548,6.4814816,0.8
2015-11-30,2.58,93.937,0.548,6.4814816,0.8
2015-12-07,2.57,93.663,0.548,-4.347826,0.8
2015-12-14,2.56,93.663,0.548,-4.347826,0.8
2015-12-21,2.55,93.663,0.548,-4.347826,0.8
2016-01-04,2.54,91.876,0.445,-10.703813,1.2
2016-01-11,2.52,91.876,0.445,-10.703813,1.2
2016-01-18,2.51,91.876,0.445,-10.703813,1.2
2016-01-25,2.5,91.876,0.445,-10.703813,1.2
2016-02-01,2.49,91.876,0.445,-10.703813,1.2
2016-02-08,2.48,91.552,0.445,-1.9047619,1.2
2016-02-15,2.48,91.552,0.445,-1.9047619,1.2
2016-02-22,2.48,91.552,0.445,-1.9047619,1.2
2016-02-29,2.48,91.552,0.445,-1.9047619,1.2
2016-03-07,2.48,91.552,0.445,-1.9047619,1.2
2016-03-14,2.48,92.139,0.445,-1.9417475,1.2
2016-03-21,2.49,92.139,0.445,-1.9417475,1.2
2016-03-28,2.5,92.139,0.445,-1.9417475,1.2
2016-04-04,2.5,92.785,0.445,-2.970297,1.2
2016-04-11,2.51,92.785,0.445,-2.970297,1.2
2016-04-18,2.52,92.785,0.445,-2.970297,1.2
2016-04-25,2.53,92.785,0.445,-2.970297,1.2
2016-05-02,2.54,92.785,0.445,-2.970297,1.2
2016-05-09,2.55,93.292,0.445,-2.0408163,1.2
2016-05-16,2.56,93.292,0.445,-2.0408163,1.2
2016-05-23,2.57,93.292,0.445,-2.0408163,1.2
2016-05-30,2.58,93.292,0.445,-2.0408163,1.2
2016-06-06,2.59,93.723,0.445,-2.0833333,1.2
2016-06-13,2.6,93.723,0.445,-2.0833333,1.2
2016-06-20,2.61,93.723,0.445,-2.0833333,1.2
2016-06-27,2.62,93.723,0.445,-2.0833333,1.2
2016-07-04,2.63,93.041,0.445,-2.1276596,1.2
2016-07-11,2.64,93.041,0.445,-2.1276596,1.2
2016-07-18,2.65,93.041,0.445,-2.1276596,1.2
2016-07-25,2.66,93.041,0.445,-2.1276596,1.2
2016-08-01,2.67,93.041,0.445,-2.1276596,1.2
2016-08-08,2.68,93.161,0.445,2.173913,1.2
2016-08-15,2.68,93.161,0.445,2.173913,1.2
2016-08-22,2.69,93.161,0.445,2.173913,1.2
2016-08-29,2.69,93.161,0.445,2.173913,1.2
2016-09-05,2.69,93.165,0.445,3.1914895,1.2
2016-09-12,2.7,93.165,0.445,3.1914895,1.2
2016-09-19,2.7,93.165,0.445,3.1914895,1.2
2016-09-26,2.7,93.165,0.445,3.1914895,1.2
2016-10-03,2.68,93.165,0.445,3.1914895,1.2
2016-10-10,2.66,94.23,0.445,11.340206,1.2
2016-10-17,2.64,94.23,0.445,11.340206,1.2
2016-10-24,2.62,94.23,0.445,11.340206,1.2
2016-10-31,2.6,94.23,0.445,11.340206,1.2
2016-11-07,2.62,94.572,0.445,6.4814816,1.2
2016-11-14,2.64,94.572,0.445,6.4814816,1.2
2016-11-21,2.66,94.572,0.445,6.4814816,1.2
2016-11-28,2.68,94.572,0.445,6.4814816,1.2
2016-12-05,2.72,94.572,0.445,6.4814816,1.2
2016-12-12,2.76,95.132,0.445,-4.347826,1.2
2016-12-19,2.8,95.132,0.445,-4.347826,1.2
2016-12-26,2.85,95.132,0.445,-4.347826,1.2
2017-01-02,2.88,95.132,0.445,-4.347826,1.2
2017-01-09,2.92,94.609,0.499,-19.357367,0.5
2017-01-16,2.96,94.609,0.499,-19.357367,0.5
2017-01-23,3.0,94.609,0.499,-19.357367,0.5
2017-01-30,3.03,94.609,0.499,-19.357367,0.5
2017-02-06,3.06,94.269,0.499,-1.9047619,0.5
2017-02-13,3.08,94.269,0.499,-1.9047619,0.5
2017-02-20,3.1,94.269,0.499,-1.9047619,0.5
2017-02-27,3.12,94.269,0.499,-1.9047619,0.5
2017-03-06,3.13,94.249,0.499,-1.9417475,0.5
2017-03-13,3.14,94.249,0.499,-1.9417475,0.5
2017-03-20,3.15,94.249,0.499,-1.9417475,0.5
2017-03-27,3.16,94.249,0.499,-1.9417475,0.5
2017-04-03,3.16,94.249,0.499,-1.9417475,0.5
2017-04-10,3.16,95.154,0.499,-2.970297,0.5
2017-04-17,3.15,95.154,0.499,-2.970297,0.5
2017-04-24,3.14,95.154,0.499,-2.970297,0.5
2017-05-01,3.13,95.154,0.499,-2.970297,0.5
2017-05-08,3.12,95.097,0.499,-2.0408163,0.5
2017-05-15,3.1,95.097,0.499,-2.0408163,0.5
2017-05-22,3.08,95.097,0.499,-2.0408163,0.5
2017-05-29,3.06,95.097,0.499,-2.0408163,0.5
2017-06-05,3.04,95.138,0.499,-2.0833333,0.5
2017-06-12,3.02,95.138,0.499,-2.0833333,0.5
2017-06-19,3.0,95.138,0.499,-2.0833333,0.5
2017-06-26,2.98,95.138,0.499,-2.0833333,0.5
2017-07-03,2.96,95.138,0.499,-2.0833333,0.5
2017-07-10,2.94,94.482,0.499,-2.1276596,0.5
2017-07-17,2.92,94.482,0.499,-2.1276596,0.5
2017-07-24,2.9,94.482,0.499,-2.1276596,0.5
2017-07-31,2.88,94.482,0.499,-2.1276596,0.5
2017-08-07,2.86,94.67,0.499,2.173913,0.5
2017-08-14,2.84,94.67,0.499,2.173913,0.5
2017-08-21,2.82,94.67,0.499,2.173913,0.5
2017-08-28,2.8,94.67,0.499,2.173913,0.5
2017-09-04,2.78,94.835,0.499,3.1914895,0.5
2017-09-11,2.76,94.835,0.499,3.1914895,0.5
2017-09-18,2.74,94.835,0.499,3.1914895,0.5
2017-09-25,2.72,94.835,0.499,3.1914895,0.5
2017-10-02,2.7,94.835,0.499,3.1914895,0.5
2017-10-09,2.68,95.71,0.499,11.340206,0.5
2017-10-16,2.67,95.71,0.499,11.340206,0.5
2017-10-23,2.66,95.71,0.499,11.340206,0.5
2017-10-30,2.65,95.71,0.499,11.340206,0.5
2017-11-06,2.64,95.71,0.499,11.340206,0.5
2017-11-13,2.64,96.147,0.499,6.4814816,0.5
2017-11-20,2.64,96.147,0.499,6.4814816,0.5
2017-11-27,2.64,96.147,0.499,6.4814816,0.5
2017-12-04,2.65,96.147,0.499,6.4814816,0.5
2017-12-11,2.65,96.19,0.499,-4.347826,0.5
2017-12-18,2.66,96.19,0.499,-4.347826,0.5
2017-12-25,2.66,96.19,0.499,-4.347826,0.5
2018-01-01,2.67,95.153,0.596,-0.64935064,-0.3
2018-01-08,2.67,95.153,0.596,-0.64935064,-0.3
2018-01-15,2.68,95.153,0.596,-0.64935064,-0.3
2018-01-22,2.68,95.153,0.596,-0.64935064,-0.3
2018-01-29,2.68,95.153,0.596,-0.64935064,-0.3
2018-02-05,2.69,95.281,0.596,-1.9047619,-0.3
2018-02-12,2.69,95.281,0.596,-1.9047619,-0.3
2018-02-19,2.7,95.281,0.596,-1.9047619,-0.3
2018-02-26,2.7,95.281,0.596,-1.9047619,-0.3
2018-03-05,2.7,95.281,0.596,-1.9047619,-0.3
2018-03-12,2.7,95.393,0.596,-1.9417475,-0.3
2018-03-19,2.7,95.393,0.596,-1.9417475,-0.3
2018-03-26,2.7,95.393,0.596,-1.9417475,-0.3
2018-04-02,2.7,95.393,0.596,-1.9417475,-0.3
2018-04-09,2.7,96.181,0.596,-2.970297,-0.3
2018-04-16,2.7,96.181,0.596,-2.970297,-0.3
2018-04-23,2.7,96.181,0.596,-2.970297,-0.3
2018-04-30,2.7,96.181,0.596,-2.970297,-0.3
2018-05-07,2.7,97.048,0.596,-2.0408163,-0.3
2018-05-14,2.7,97.048,0.596,-2.0408163,-0.3
2018-05-21,2.71,97.048,0.596,-2.0408163,-0.3
2018-05-28,2.71,97.048,0.596,-2.0408163,-0.3
2018-06-04,2.72,97.048,0.596,-2.0408163,-0.3
2018-06-11,2.72,97.302,0.596,-2.0833333,-0.3
2018-06-18,2.72,97.302,0.596,-2.0833333,-0.3
2018-06-25,2.72,97.302,0.596,-2.0833333,-0.3
2018-07-02,2.73,97.302,0.596,-2.0833333,-0.3
2018-07-09,2.74,96.604,0.596,-2.1276596,-0.3
2018-07-16,2.75,96.604,0.596,-2.1276596,-0.3
2018-07-23,2.75,96.604,0.596,-2.1276596,-0.3
2018-07-30,2.74,96.604,0.596,-2.1276596,-0.3
2018-08-06,2.73,96.742,0.596,2.173913,-0.3
2018-08-13,2.72,96.742,0.596,2.173913,-0.3
2018-08-20,2.71,96.742,0.596,2.173913,-0.3
2018-08-27,2.7,96.742,0.596,2.173913,-0.3
2018-09-03,2.69,96.742,0.596,2.173913,-0.3
2018-09-10,2.68,96.978,0.596,3.1914895,-0.3
2018-09-17,2.67,96.978,0.596,3.1914895,-0.3
2018-09-24,2.66,96.978,0.596,3.1914895,-0.3
2018-10-01,2.6,96.978,0.596,3.1914895,-0.3
2018-10-08,2.54,96.978,0.596,3.1914895,-0.3
2018-10-15,2.48,97.875,0.596,11.340206,-0.3
2018-10-22,2.44,97.875,0.596,11.340206,-0.3
2018-10-29,2.4,97.875,0.596,11.340206,-0.3
2018-11-05,2.37,97.875,0.596,11.340206,-0.3
2018-11-12,2.35,97.768,0.596,6.4814816,-0.3
2018-11-19,2.33,97.768,0.596,6.4814816,-0.3
2018-11-26,2.32,97.768,0.596,6.4814816,-0.3
2018-12-03,2.31,97.329,0.596,-4.347826,-0.3
2018-12-10,2.3,97.329,0.596,-4.347826,-0.3
2018-12-17,2.3,97.329,0.596,-4.347826,-0.3
2018-12-24,2.3,97.329,0.596,-4.347826,-0.3
2018-12-31,2.3,97.329,0.596,-4.347826,-0.3
2019-01-07,2.31,96.085,0.549,34.759357,0.9
2019-01-14,2.31,96.085,0.549,34.759357,0.9
2019-01-21,2.32,96.085,0.549,34.759357,0.9
2019-01-28,2.32,96.085,0.549,34.759357,0.9
2019-02-04,2.33,96.085,0.549,34.759357,0.9
2019-02-11,2.34,96.32,0.549,-1.9047619,0.9
